loggingTime(txt),1,2,3,4,5,6,label
0,0.72216796875,-0.453125,0.5673828125,0.057468158297374,0.009578026382896,-0.007449576075586,Null
0.02,0.7314453125,-0.44677734375,0.57763671875,0.052147032529099,-0.00638535092193,-0.005321125768275,Null
0.041,0.740234375,-0.44091796875,0.5888671875,0.076624211063166,-0.014899152151171,0,Null
0.065,0.732421875,-0.44921875,0.5888671875,0.112807866287438,-0.008513801229241,0.005321125768275,Null
0.085,0.72021484375,-0.4560546875,0.57666015625,0.106422515365508,-0.005321125768275,0.005321125768275,Null
0.105,0.71142578125,-0.4560546875,0.5654296875,0.097908714136267,-0.009578026382896,0.017027602458481,Null
0.126,0.71142578125,-0.455078125,0.568359375,0.093651813521647,-0.019156052765792,0.032990979763308,Null
0.146,0.7216796875,-0.45263671875,0.5830078125,0.079816886524131,-0.024477178534067,0.038312105531583,Null
0.166,0.7314453125,-0.451171875,0.58837890625,0.065981959526615,-0.018091827612136,0.031926754609652,Null
0.186,0.72900390625,-0.45068359375,0.58251953125,0.056403933143719,-0.003192675460965,0.020220277919447,Null
0.205,0.7275390625,-0.45556640625,0.5732421875,0.054275482836409,0.00638535092193,0.012770701843861,Null
0.226,0.728515625,-0.46240234375,0.5673828125,0.052147032529099,0.005321125768275,0.014899152151171,Null
0.246,0.73291015625,-0.45556640625,0.56396484375,0.050018582221789,-0.003192675460965,0.022348728226757,Null
0.266,0.73779296875,-0.45361328125,0.56884765625,0.040440555838893,-0.011706476690206,0.021284503073102,Null
0.286,0.7392578125,-0.455078125,0.57373046875,0.025541403687722,-0.017027602458481,0.015963377304826,Null
0.306,0.73779296875,-0.45703125,0.57568359375,0.020220277919447,-0.019156052765792,0.011706476690206,Null
0.326,0.73681640625,-0.45166015625,0.5751953125,0.039376330685238,-0.015963377304826,0.009578026382896,Null
0.346,0.728515625,-0.44580078125,0.57421875,0.055339707990064,-0.011706476690206,0.007449576075586,Null
0.366,0.72412109375,-0.4501953125,0.57373046875,0.035119430070618,-0.012770701843861,0.001064225153655,Null
0.386,0.7236328125,-0.458984375,0.57470703125,0.014899152151171,-0.013834926997516,-0.010642251536551,Null
0.406,0.73681640625,-0.45654296875,0.5703125,0.012770701843861,-0.010642251536551,-0.021284503073102,Null
0.426,0.75341796875,-0.44677734375,0.5634765625,0.007449576075586,-0.007449576075586,-0.027669853995032,Null
0.447,0.76220703125,-0.4365234375,0.576171875,0.013834926997516,-0.00425690061462,-0.037247880377928,Null
0.467,0.763671875,-0.42431640625,0.5869140625,0.057468158297374,0.003192675460965,-0.053211257682754,Null
0.487,0.76806640625,-0.40283203125,0.5849609375,0.145798846050746,0.018091827612136,-0.103229839904543,Null
0.507,0.77685546875,-0.3466796875,0.57177734375,0.228808408035842,0.013834926997516,-0.188367852196949,Null
0.527,0.78076171875,-0.310546875,0.57177734375,0.242643335033358,-0.00425690061462,-0.27457008964301,Null
0.548,0.75830078125,-0.3671875,0.576171875,0.133028144206885,-0.027669853995032,-0.2724416393357,Null
0.567,0.71484375,-0.349609375,0.5478515625,-0.088330687753372,-0.094716038675302,-0.271377414182045,Null
0.592,0.7001953125,-0.1591796875,0.474609375,-0.548075954132366,-0.167083349123847,-0.401212882927965,Null
0.612,0.67529296875,-0.2607421875,0.38720703125,-1.06741782911604,-0.273505864489355,-0.568296232051812,Null
0.633,0.6611328125,-0.30908203125,0.455078125,-1.05039022665756,-0.387377955930449,-0.698131700797732,Null
0.653,0.62939453125,-0.244140625,0.63720703125,-1.22918005247162,-0.438460763305893,-0.849251672616753,Null
0.673,0.54541015625,-0.19921875,0.67041015625,-2.1678266379954,-0.40653400869624,-1.03974797512101,Null
0.693,0.58349609375,-0.3154296875,0.64453125,-2.96812395354402,-0.157505322740952,-1.21002399970582,Null
0.713,0.6279296875,-0.4365234375,0.68115234375,-2.84041693510541,0.001064225153655,-1.32389609114692,Null
0.733,0.63525390625,-0.23583984375,0.62158203125,-2.63182880498901,0.087266462599717,-1.49842901634635,Null
0.753,0.6376953125,-0.2158203125,0.4130859375,-3.15329913028,0.336295148555005,-1.52822732064869,Null
0.773,0.68896484375,-0.42236328125,0.16357421875,-3.51300723221542,0.394827532006034,-1.51652084395849,Null
0.793,0.78955078125,-0.51611328125,0.19091796875,-3.31186867817461,0.369286128318312,-1.58463125379241,Null
0.813,0.857421875,-0.44482421875,0.31298828125,-3.14478532905076,0.368221903164657,-1.73255855015047,Null
0.833,0.89111328125,-0.3974609375,0.25,-3.16819828243117,0.442717663920513,-1.82301768821115,Null
0.854,0.89892578125,-0.4951171875,0.060546875,-2.90533466947837,0.551268629593331,-1.8645224692037,Null
0.874,0.994140625,-0.5400390625,0.08984375,-1.99755061341058,0.445910339381478,-1.91241260111818,Null
0.898,1.087890625,-0.45751953125,0.2177734375,-1.29303356169092,0.242643335033358,-1.89219232319873,Null
0.918,1.08251953125,-0.3330078125,0.28076171875,-1.66231969000923,0.171340249738468,-1.74000812622605,Null
0.938,1.1357421875,-0.34228515625,0.2060546875,-2.09226665208589,0.227744182882187,-1.63145716055324,Null
0.959,1.1640625,-0.35693359375,0.1708984375,-2.30830435827787,0.226679957728532,-1.51439239365118,Null
0.979,1.16943359375,-0.3408203125,0.21435546875,-2.50837868716502,0.151119971819021,-1.32283186599326,Null
0.999000000000001,1.12109375,-0.3447265625,0.23779296875,-2.74463667127645,0.081945336831441,-1.06103247819411,Null
1.019,1.10400390625,-0.384765625,0.21875,-2.76698539950321,0.083009561985096,-0.954609962828606,Null
1.039,1.0888671875,-0.42138671875,0.1962890625,-2.55307614361853,0.089394912907027,-0.710902402641593,Null
1.059,1.0654296875,-0.44384765625,0.18115234375,-1.81450388698191,0.041504780992548,-0.327781347325764,Null
1.079,1.05908203125,-0.4443359375,0.18115234375,-1.23556540339355,-0.00212845030731,-0.086202237446062,Null
1.099,1.05908203125,-0.43359375,0.17724609375,-0.93864658552378,-0.023412953380412,0.022348728226757,Null
1.119,1.06201171875,-0.4140625,0.1708984375,-0.387377955930449,-0.065981959526615,0.221358831960256,Null
1.139,1.04248046875,-0.38720703125,0.18505859375,0.027669853995032,-0.095780263828957,0.392699081698724,Null
1.16,1.0234375,-0.35107421875,0.2119140625,0.296918817869767,-0.095780263828957,0.585323834510293,Null
1.18,1.01025390625,-0.31884765625,0.2275390625,0.319267546096524,-0.087266462599717,0.640663542500358,Null
1.2,0.984375,-0.28662109375,0.2373046875,0.303304168791697,-0.063853509219305,0.717287753563523,Null
1.219,0.9658203125,-0.279296875,0.23779296875,0.212845030731016,-0.035119430070618,0.74176493209759,Null
1.244,0.96240234375,-0.3056640625,0.23388671875,0.128771243592265,-0.007449576075586,0.734315356022005,Null
1.265,0.95458984375,-0.30029296875,0.2314453125,0.128771243592265,0.003192675460965,0.705581276873317,Null
1.285,0.9345703125,-0.28759765625,0.21533203125,0.117064766902059,0.012770701843861,0.650241568883253,Null
1.305,0.92236328125,-0.296875,0.1923828125,0.108550965672818,0.010642251536551,0.565103556590847,Null
1.325,0.9130859375,-0.32666015625,0.1630859375,0.144734620897091,-0.034055204916963,0.4714517430692,Null
1.345,0.92578125,-0.349609375,0.1689453125,0.287340791486871,-0.119193217209369,0.383121055315828,Null
1.365,0.93798828125,-0.33251953125,0.2001953125,0.53424102713485,-0.1990101037335,0.316074870635558,Null
1.385,0.93994140625,-0.29345703125,0.21533203125,0.716223528409868,-0.233065308650462,0.267120513567425,Null
1.405,0.93994140625,-0.2880859375,0.208984375,0.724737329639109,-0.223487282267567,0.223487282267567,Null
1.425,0.94189453125,-0.29150390625,0.21630859375,0.615122138812636,-0.193688977965224,0.167083349123847,Null
